Timestamp_sec,%CPU,%MEM
1763462110,0.0,1.3
1763462111,0.0,1.3
1763462113,0.0,1.4
1763462114,0.0,1.4
1763462115,0.0,1.4
1763462116,0.0,1.4
1763462117,0.0,1.4
1763462119,0.0,1.4
1763462120,0.0,1.4
1763462121,0.0,1.4
1763462122,0.0,1.4
1763462123,0.0,1.4
1763462124,0.0,1.4
1763462126,0.0,1.4
1763462127,0.0,1.4
1763462128,0.0,1.4
1763462129,0.0,1.4
1763462130,0.0,1.4
1763462132,0.0,1.4
1763462133,0.0,1.4
1763462134,0.0,1.4
1763462135,6.7,1.4
1763462136,0.0,1.4
1763462137,0.0,1.4
1763462139,0.0,1.4
1763462140,0.0,1.4
1763462141,0.0,1.4
1763462142,0.0,1.4
1763462143,0.0,1.4
1763462145,0.0,1.4
1763462146,0.0,1.4
1763462147,6.7,1.4
1763462148,0.0,1.4
1763462149,0.0,1.4
1763462150,0.0,1.4
1763462152,6.7,1.4
1763462153,0.0,1.4
1763462154,0.0,1.4
1763462155,0.0,1.4
1763462156,0.0,1.4
1763462158,0.0,1.4
1763462159,0.0,1.4
1763462160,0.0,1.4
1763462161,0.0,1.4
1763462162,0.0,1.4
1763462163,0.0,1.4
1763462165,6.7,1.4
1763462166,0.0,1.4
1763462167,6.7,1.4
1763462168,0.0,1.4
1763462169,0.0,1.4
1763462171,0.0,1.4
1763462172,0.0,1.4
1763462173,0.0,1.4
1763462174,0.0,1.4
1763462175,0.0,1.4
1763462176,0.0,1.4
1763462178,0.0,1.4
1763462179,0.0,1.4
1763462180,0.0,1.4
1763462181,0.0,1.4
1763462182,0.0,1.4
1763462183,0.0,1.4
1763462185,0.0,1.4
1763462186,0.0,1.4
1763462187,6.2,1.4
1763462188,0.0,1.4
1763462189,0.0,1.4
1763462191,0.0,1.4
1763462192,0.0,1.4
1763462193,0.0,1.4
1763462194,0.0,1.4
1763462195,0.0,1.4
1763462196,0.0,1.4
1763462198,0.0,1.4
1763462199,0.0,1.4
1763462200,0.0,1.4
1763462201,0.0,1.4
1763462202,0.0,1.4
1763462204,0.0,1.4
1763462205,0.0,1.4
1763462206,0.0,1.4
1763462207,0.0,1.4
1763462208,0.0,1.4
1763462209,0.0,1.4
1763462211,0.0,1.4
1763462212,6.7,1.4
1763462213,0.0,1.4
1763462214,0.0,1.4
1763462215,0.0,1.4
1763462217,0.0,1.4
1763462218,6.7,1.4
1763462219,0.0,1.4
1763462220,0.0,1.4
1763462221,0.0,1.4
1763462222,0.0,1.4
1763462224,6.7,1.4
1763462225,0.0,1.4
1763462226,0.0,1.4
1763462227,6.7,1.4
1763462228,0.0,1.4
1763462230,0.0,1.4
1763462231,0.0,1.4
1763462232,6.7,1.4
1763462233,6.7,1.4
1763462234,0.0,1.4
1763462235,0.0,1.4
1763462237,0.0,1.4
1763462238,6.7,1.4
1763462239,0.0,1.4
1763462240,0.0,1.4
1763462241,0.0,1.4
1763462243,0.0,1.4
1763462244,0.0,1.4
1763462245,0.0,1.4
1763462246,0.0,1.4
1763462247,0.0,1.4
1763462248,0.0,1.4
1763462250,0.0,1.4
1763462251,0.0,1.4
1763462252,0.0,1.4
1763462253,0.0,1.4
1763462254,0.0,1.4
1763462256,0.0,1.4
1763462257,0.0,1.4
1763462258,6.7,1.4
1763462259,0.0,1.4
1763462260,0.0,1.4
1763462261,0.0,1.4
1763462263,0.0,1.4
1763462264,0.0,1.4
1763462265,0.0,1.4
1763462266,0.0,1.4
1763462267,0.0,1.4
1763462269,0.0,1.4
1763462270,0.0,1.4
1763462271,0.0,1.4
1763462272,0.0,1.4
1763462273,6.7,1.4
1763462274,0.0,1.4
1763462276,0.0,1.4
1763462277,0.0,1.4
1763462278,0.0,1.4
1763462279,6.7,1.4
1763462280,0.0,1.4
1763462282,0.0,1.4
1763462283,0.0,1.4
1763462284,0.0,1.4
1763462285,0.0,1.4
1763462286,0.0,1.4
1763462287,0.0,1.4
1763462289,0.0,1.4
1763462290,0.0,1.4
1763462291,0.0,1.4
1763462292,0.0,1.4
1763462293,6.2,1.4
1763462295,0.0,1.4
1763462296,0.0,1.4
1763462297,0.0,1.4
1763462298,0.0,1.4
1763462299,0.0,1.4
1763462300,0.0,1.4
1763462302,0.0,1.4
1763462303,0.0,1.4
1763462304,0.0,1.4
1763462305,0.0,1.4
1763462306,0.0,1.4
1763462308,0.0,1.4
1763462309,0.0,1.4
1763462310,6.7,1.4
1763462311,0.0,1.4
1763462312,0.0,1.4
1763462313,0.0,1.4
1763462315,0.0,1.4
1763462316,0.0,1.4
1763462317,0.0,1.4
1763462318,0.0,1.4
1763462319,0.0,1.4
1763462321,0.0,1.4
1763462322,0.0,1.4
1763462323,0.0,1.4
1763462324,0.0,1.4
1763462325,6.7,1.4
1763462326,0.0,1.4
1763462328,0.0,1.4
1763462329,6.7,1.4
1763462330,0.0,1.4
1763462331,0.0,1.4
1763462332,0.0,1.4
1763462333,0.0,1.4
1763462335,0.0,1.4
1763462336,0.0,1.4
1763462337,0.0,1.4
1763462338,0.0,1.4
1763462339,0.0,1.4
1763462341,0.0,1.4
1763462342,0.0,1.4
1763462343,0.0,1.4
1763462344,0.0,1.4
1763462345,0.0,1.4
