EventType,FileID,PacketID,Timestamp,Source,Destination,DelaySec,Path,FileSizeMB,ThroughputMbps
RECEIVED,PDR,1,1766313807.8926501,192.168.10.2,192.168.10.4,0.0029,192.168.10.2->192.168.10.4,,
RECEIVED,PDR,2,1766313807.9139566,192.168.10.2,192.168.10.4,0.0030,192.168.10.2->192.168.10.4,,
RECEIVED,PDR,3,1766313807.9353304,192.168.10.2,192.168.10.4,0.0031,192.168.10.2->192.168.10.4,,
RECEIVED,PDR,4,1766313807.9594488,192.168.10.2,192.168.10.4,0.0030,192.168.10.2->192.168.10.4,,
RECEIVED,PDR,5,1766313807.9807854,192.168.10.2,192.168.10.4,0.0030,192.168.10.2->192.168.10.4,,
RECEIVED,PDR,6,1766313808.0019991,192.168.10.2,192.168.10.4,0.0029,192.168.10.2->192.168.10.4,,
RECEIVED,PDR,7,1766313808.0232527,192.168.10.2,192.168.10.4,0.0030,192.168.10.2->192.168.10.4,,
RECEIVED,PDR,8,1766313808.0442681,192.168.10.2,192.168.10.4,0.0029,192.168.10.2->192.168.10.4,,
RECEIVED,PDR,9,1766313808.0652134,192.168.10.2,192.168.10.4,0.0028,192.168.10.2->192.168.10.4,,
RECEIVED,PDR,10,1766313808.086195,192.168.10.2,192.168.10.4,0.0028,192.168.10.2->192.168.10.4,,
RECEIVED,PDR,11,1766313808.1072752,192.168.10.2,192.168.10.4,0.0028,192.168.10.2->192.168.10.4,,
RECEIVED,PDR,12,1766313808.1285782,192.168.10.2,192.168.10.4,0.0031,192.168.10.2->192.168.10.4,,
RECEIVED,PDR,13,1766313808.1495705,192.168.10.2,192.168.10.4,0.0030,192.168.10.2->192.168.10.4,,
RECEIVED,PDR,14,1766313808.170412,192.168.10.2,192.168.10.4,0.0029,192.168.10.2->192.168.10.4,,
RECEIVED,PDR,15,1766313808.1922784,192.168.10.2,192.168.10.4,0.0036,192.168.10.2->192.168.10.4,,
RECEIVED,PDR,16,1766313808.2124937,192.168.10.2,192.168.10.4,0.0028,192.168.10.2->192.168.10.4,,
RECEIVED,PDR,17,1766313808.233657,192.168.10.2,192.168.10.4,0.0030,192.168.10.2->192.168.10.4,,
RECEIVED,PDR,18,1766313808.25465,192.168.10.2,192.168.10.4,0.0030,192.168.10.2->192.168.10.4,,
RECEIVED,PDR,19,1766313808.2755694,192.168.10.2,192.168.10.4,0.0029,192.168.10.2->192.168.10.4,,
RECEIVED,PDR,20,1766313808.2965827,192.168.10.2,192.168.10.4,0.0029,192.168.10.2->192.168.10.4,,
RECEIVED,PDR,21,1766313808.317774,192.168.10.2,192.168.10.4,0.0030,192.168.10.2->192.168.10.4,,
RECEIVED,PDR,22,1766313808.3387537,192.168.10.2,192.168.10.4,0.0029,192.168.10.2->192.168.10.4,,
RECEIVED,PDR,23,1766313808.3602183,192.168.10.2,192.168.10.4,0.0033,192.168.10.2->192.168.10.4,,
RECEIVED,PDR,24,1766313808.38076,192.168.10.2,192.168.10.4,0.0029,192.168.10.2->192.168.10.4,,
RECEIVED,PDR,25,1766313808.4013982,192.168.10.2,192.168.10.4,0.0025,192.168.10.2->192.168.10.4,,
RECEIVED,PDR,26,1766313808.4233267,192.168.10.2,192.168.10.4,0.0035,192.168.10.2->192.168.10.4,,
RECEIVED,PDR,27,1766313808.4441524,192.168.10.2,192.168.10.4,0.0032,192.168.10.2->192.168.10.4,,
RECEIVED,PDR,28,1766313808.4648705,192.168.10.2,192.168.10.4,0.0030,192.168.10.2->192.168.10.4,,
RECEIVED,PDR,29,1766313808.4858646,192.168.10.2,192.168.10.4,0.0030,192.168.10.2->192.168.10.4,,
RECEIVED,PDR,30,1766313808.5068886,192.168.10.2,192.168.10.4,0.0030,192.168.10.2->192.168.10.4,,
RECEIVED,PDR,31,1766313808.5279777,192.168.10.2,192.168.10.4,0.0029,192.168.10.2->192.168.10.4,,
RECEIVED,PDR,32,1766313808.5489469,192.168.10.2,192.168.10.4,0.0029,192.168.10.2->192.168.10.4,,
RECEIVED,PDR,33,1766313808.570529,192.168.10.2,192.168.10.4,0.0031,192.168.10.2->192.168.10.4,,
RECEIVED,PDR,34,1766313808.5921593,192.168.10.2,192.168.10.4,0.0031,192.168.10.2->192.168.10.4,,
RECEIVED,PDR,35,1766313808.613905,192.168.10.2,192.168.10.4,0.0036,192.168.10.2->192.168.10.4,,
RECEIVED,PDR,36,1766313808.6349366,192.168.10.2,192.168.10.4,0.0032,192.168.10.2->192.168.10.4,,
RECEIVED,PDR,37,1766313808.6574006,192.168.10.2,192.168.10.4,0.0032,192.168.10.2->192.168.10.4,,
RECEIVED,PDR,38,1766313808.6843126,192.168.10.2,192.168.10.4,0.0038,192.168.10.2->192.168.10.4,,
RECEIVED,PDR,39,1766313808.7053888,192.168.10.2,192.168.10.4,0.0033,192.168.10.2->192.168.10.4,,
RECEIVED,PDR,40,1766313808.7263367,192.168.10.2,192.168.10.4,0.0029,192.168.10.2->192.168.10.4,,
RECEIVED,PDR,41,1766313808.7479756,192.168.10.2,192.168.10.4,0.0032,192.168.10.2->192.168.10.4,,
RECEIVED,PDR,42,1766313808.7694747,192.168.10.2,192.168.10.4,0.0034,192.168.10.2->192.168.10.4,,
RECEIVED,PDR,43,1766313808.790418,192.168.10.2,192.168.10.4,0.0030,192.168.10.2->192.168.10.4,,
RECEIVED,PDR,44,1766313808.8127172,192.168.10.2,192.168.10.4,0.0040,192.168.10.2->192.168.10.4,,
RECEIVED,PDR,45,1766313808.8330994,192.168.10.2,192.168.10.4,0.0031,192.168.10.2->192.168.10.4,,
RECEIVED,PDR,46,1766313808.8539753,192.168.10.2,192.168.10.4,0.0029,192.168.10.2->192.168.10.4,,
RECEIVED,PDR,47,1766313808.8750584,192.168.10.2,192.168.10.4,0.0029,192.168.10.2->192.168.10.4,,
RECEIVED,PDR,48,1766313808.896356,192.168.10.2,192.168.10.4,0.0031,192.168.10.2->192.168.10.4,,
RECEIVED,PDR,49,1766313808.9171,192.168.10.2,192.168.10.4,0.0028,192.168.10.2->192.168.10.4,,
RECEIVED,PDR,50,1766313808.9382904,192.168.10.2,192.168.10.4,0.0029,192.168.10.2->192.168.10.4,,
RECEIVED,PDR,51,1766313808.9593337,192.168.10.2,192.168.10.4,0.0029,192.168.10.2->192.168.10.4,,
RECEIVED,PDR,52,1766313808.9804337,192.168.10.2,192.168.10.4,0.0030,192.168.10.2->192.168.10.4,,
