EventType,FileID,PacketID,Timestamp,Source,Destination,DelaySec,Path,FileSizeMB,ThroughputMbps
RECEIVED,PDR,1,1766313799.38656,192.168.10.2,192.168.10.1,0.0043,192.168.10.2->192.168.10.1,,
RECEIVED,PDR,2,1766313799.4079728,192.168.10.2,192.168.10.1,0.0043,192.168.10.2->192.168.10.1,,
RECEIVED,PDR,3,1766313799.4294431,192.168.10.2,192.168.10.1,0.0043,192.168.10.2->192.168.10.1,,
RECEIVED,PDR,4,1766313799.4509199,192.168.10.2,192.168.10.1,0.0042,192.168.10.2->192.168.10.1,,
RECEIVED,PDR,5,1766313799.4723458,192.168.10.2,192.168.10.1,0.0042,192.168.10.2->192.168.10.1,,
RECEIVED,PDR,6,1766313799.4949808,192.168.10.2,192.168.10.1,0.0055,192.168.10.2->192.168.10.1,,
RECEIVED,PDR,7,1766313799.5148551,192.168.10.2,192.168.10.1,0.0041,192.168.10.2->192.168.10.1,,
RECEIVED,PDR,8,1766313799.5361354,192.168.10.2,192.168.10.1,0.0042,192.168.10.2->192.168.10.1,,
RECEIVED,PDR,9,1766313799.5571322,192.168.10.2,192.168.10.1,0.0040,192.168.10.2->192.168.10.1,,
RECEIVED,PDR,10,1766313799.5781708,192.168.10.2,192.168.10.1,0.0039,192.168.10.2->192.168.10.1,,
RECEIVED,PDR,11,1766313799.5994327,192.168.10.2,192.168.10.1,0.0042,192.168.10.2->192.168.10.1,,
RECEIVED,PDR,12,1766313799.6210895,192.168.10.2,192.168.10.1,0.0048,192.168.10.2->192.168.10.1,,
RECEIVED,PDR,13,1766313799.642139,192.168.10.2,192.168.10.1,0.0047,192.168.10.2->192.168.10.1,,
RECEIVED,PDR,14,1766313799.6628199,192.168.10.2,192.168.10.1,0.0042,192.168.10.2->192.168.10.1,,
RECEIVED,PDR,15,1766313799.683672,192.168.10.2,192.168.10.1,0.0041,192.168.10.2->192.168.10.1,,
RECEIVED,PDR,16,1766313799.7054284,192.168.10.2,192.168.10.1,0.0047,192.168.10.2->192.168.10.1,,
RECEIVED,PDR,17,1766313799.7260034,192.168.10.2,192.168.10.1,0.0040,192.168.10.2->192.168.10.1,,
RECEIVED,PDR,18,1766313799.7470415,192.168.10.2,192.168.10.1,0.0040,192.168.10.2->192.168.10.1,,
RECEIVED,PDR,19,1766313799.7687125,192.168.10.2,192.168.10.1,0.0045,192.168.10.2->192.168.10.1,,
RECEIVED,PDR,20,1766313799.789851,192.168.10.2,192.168.10.1,0.0043,192.168.10.2->192.168.10.1,,
RECEIVED,PDR,21,1766313799.8110967,192.168.10.2,192.168.10.1,0.0042,192.168.10.2->192.168.10.1,,
RECEIVED,PDR,22,1766313799.8331993,192.168.10.2,192.168.10.1,0.0047,192.168.10.2->192.168.10.1,,
RECEIVED,PDR,23,1766313799.8542314,192.168.10.2,192.168.10.1,0.0043,192.168.10.2->192.168.10.1,,
RECEIVED,PDR,24,1766313799.875281,192.168.10.2,192.168.10.1,0.0040,192.168.10.2->192.168.10.1,,
RECEIVED,PDR,25,1766313799.8968449,192.168.10.2,192.168.10.1,0.0045,192.168.10.2->192.168.10.1,,
RECEIVED,PDR,26,1766313799.9176655,192.168.10.2,192.168.10.1,0.0041,192.168.10.2->192.168.10.1,,
RECEIVED,PDR,27,1766313799.9402447,192.168.10.2,192.168.10.1,0.0056,192.168.10.2->192.168.10.1,,
RECEIVED,PDR,28,1766313799.959873,192.168.10.2,192.168.10.1,0.0040,192.168.10.2->192.168.10.1,,
RECEIVED,PDR,29,1766313799.9813564,192.168.10.2,192.168.10.1,0.0044,192.168.10.2->192.168.10.1,,
RECEIVED,PDR,30,1766313800.001929,192.168.10.2,192.168.10.1,0.0040,192.168.10.2->192.168.10.1,,
RECEIVED,PDR,31,1766313800.0234678,192.168.10.2,192.168.10.1,0.0045,192.168.10.2->192.168.10.1,,
RECEIVED,PDR,32,1766313800.0470428,192.168.10.2,192.168.10.1,0.0069,192.168.10.2->192.168.10.1,,
RECEIVED,PDR,33,1766313800.0652077,192.168.10.2,192.168.10.1,0.0040,192.168.10.2->192.168.10.1,,
RECEIVED,PDR,34,1766313800.0862317,192.168.10.2,192.168.10.1,0.0040,192.168.10.2->192.168.10.1,,
RECEIVED,PDR,35,1766313800.1071713,192.168.10.2,192.168.10.1,0.0039,192.168.10.2->192.168.10.1,,
RECEIVED,PDR,36,1766313800.1282997,192.168.10.2,192.168.10.1,0.0040,192.168.10.2->192.168.10.1,,
RECEIVED,PDR,37,1766313800.1494408,192.168.10.2,192.168.10.1,0.0040,192.168.10.2->192.168.10.1,,
RECEIVED,PDR,38,1766313800.1704369,192.168.10.2,192.168.10.1,0.0039,192.168.10.2->192.168.10.1,,
RECEIVED,PDR,39,1766313800.191406,192.168.10.2,192.168.10.1,0.0039,192.168.10.2->192.168.10.1,,
RECEIVED,PDR,40,1766313800.2126675,192.168.10.2,192.168.10.1,0.0040,192.168.10.2->192.168.10.1,,
RECEIVED,PDR,41,1766313800.2336748,192.168.10.2,192.168.10.1,0.0040,192.168.10.2->192.168.10.1,,
RECEIVED,PDR,42,1766313800.2562792,192.168.10.2,192.168.10.1,0.0054,192.168.10.2->192.168.10.1,,
RECEIVED,PDR,43,1766313800.2758207,192.168.10.2,192.168.10.1,0.0040,192.168.10.2->192.168.10.1,,
RECEIVED,PDR,44,1766313800.296801,192.168.10.2,192.168.10.1,0.0039,192.168.10.2->192.168.10.1,,
RECEIVED,PDR,45,1766313800.318344,192.168.10.2,192.168.10.1,0.0044,192.168.10.2->192.168.10.1,,
RECEIVED,PDR,46,1766313800.339166,192.168.10.2,192.168.10.1,0.0041,192.168.10.2->192.168.10.1,,
RECEIVED,PDR,47,1766313800.3601782,192.168.10.2,192.168.10.1,0.0040,192.168.10.2->192.168.10.1,,
RECEIVED,PDR,48,1766313800.3812685,192.168.10.2,192.168.10.1,0.0040,192.168.10.2->192.168.10.1,,
RECEIVED,PDR,49,1766313800.402071,192.168.10.2,192.168.10.1,0.0039,192.168.10.2->192.168.10.1,,
RECEIVED,PDR,50,1766313800.423298,192.168.10.2,192.168.10.1,0.0041,192.168.10.2->192.168.10.1,,
RECEIVED,PDR,51,1766313800.4443243,192.168.10.2,192.168.10.1,0.0040,192.168.10.2->192.168.10.1,,
RECEIVED,PDR,52,1766313800.4652727,192.168.10.2,192.168.10.1,0.0039,192.168.10.2->192.168.10.1,,
RECEIVED,PDR,53,1766313800.4864652,192.168.10.2,192.168.10.1,0.0040,192.168.10.2->192.168.10.1,,
RECEIVED,PDR,54,1766313800.5073905,192.168.10.2,192.168.10.1,0.0040,192.168.10.2->192.168.10.1,,
RECEIVED,PDR,55,1766313800.528848,192.168.10.2,192.168.10.1,0.0043,192.168.10.2->192.168.10.1,,
RECEIVED,PDR,56,1766313800.5503345,192.168.10.2,192.168.10.1,0.0046,192.168.10.2->192.168.10.1,,
RECEIVED,PDR,57,1766313800.5713584,192.168.10.2,192.168.10.1,0.0045,192.168.10.2->192.168.10.1,,
RECEIVED,PDR,58,1766313800.593145,192.168.10.2,192.168.10.1,0.0050,192.168.10.2->192.168.10.1,,
