EventType,FileID,PacketID,Timestamp,Source,Destination,DelaySec,Path,FileSizeMB,ThroughputMbps
RECEIVED,PDR,1,1763798380,192.168.10.1,192.168.10.5,0.011,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,2,1763798381,192.168.10.1,192.168.10.5,0.0063,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,3,1763798381,192.168.10.1,192.168.10.5,0.0078,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,4,1763798382,192.168.10.1,192.168.10.5,0.0071,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,5,1763798382,192.168.10.1,192.168.10.5,0.0065,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,6,1763798383,192.168.10.1,192.168.10.5,0.0065,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,7,1763798383,192.168.10.1,192.168.10.5,0.0076,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,8,1763798384,192.168.10.1,192.168.10.5,0.0062,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,9,1763798384,192.168.10.1,192.168.10.5,0.0065,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,10,1763798385,192.168.10.1,192.168.10.5,0.0065,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,11,1763798385,192.168.10.1,192.168.10.5,0.0069,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,12,1763798386,192.168.10.1,192.168.10.5,0.0065,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,13,1763798386,192.168.10.1,192.168.10.5,0.0073,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,14,1763798387,192.168.10.1,192.168.10.5,0.0075,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,15,1763798387,192.168.10.1,192.168.10.5,0.0073,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,16,1763798388,192.168.10.1,192.168.10.5,0.0066,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,17,1763798388,192.168.10.1,192.168.10.5,0.0066,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,18,1763798389,192.168.10.1,192.168.10.5,0.0063,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,19,1763798389,192.168.10.1,192.168.10.5,0.0066,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,20,1763798390,192.168.10.1,192.168.10.5,0.0066,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,21,1763798390,192.168.10.1,192.168.10.5,0.012,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,22,1763798391,192.168.10.1,192.168.10.5,0.0065,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,23,1763798391,192.168.10.1,192.168.10.5,0.0061,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,24,1763798392,192.168.10.1,192.168.10.5,0.0067,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,25,1763798392,192.168.10.1,192.168.10.5,0.0065,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,26,1763798393,192.168.10.1,192.168.10.5,0.0065,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,27,1763798393,192.168.10.1,192.168.10.5,0.0065,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,28,1763798394,192.168.10.1,192.168.10.5,0.0065,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,29,1763798394,192.168.10.1,192.168.10.5,0.0065,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,30,1763798395,192.168.10.1,192.168.10.5,0.0064,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,31,1763798395,192.168.10.1,192.168.10.5,0.0064,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,32,1763798396,192.168.10.1,192.168.10.5,0.0065,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,33,1763798396,192.168.10.1,192.168.10.5,0.0062,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,34,1763798397,192.168.10.1,192.168.10.5,0.0064,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,35,1763798397,192.168.10.1,192.168.10.5,0.0064,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,36,1763798398,192.168.10.1,192.168.10.5,0.0068,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,37,1763798398,192.168.10.1,192.168.10.5,0.0065,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,38,1763798399,192.168.10.1,192.168.10.5,0.006,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,39,1763798399,192.168.10.1,192.168.10.5,0.0067,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,40,1763798400,192.168.10.1,192.168.10.5,0.0063,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,41,1763798400,192.168.10.1,192.168.10.5,0.0066,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,42,1763798401,192.168.10.1,192.168.10.5,0.0072,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,43,1763798401,192.168.10.1,192.168.10.5,0.0065,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,44,1763798402,192.168.10.1,192.168.10.5,0.0065,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,45,1763798402,192.168.10.1,192.168.10.5,0.0061,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,46,1763798403,192.168.10.1,192.168.10.5,0.0068,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,47,1763798403,192.168.10.1,192.168.10.5,0.0066,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,48,1763798404,192.168.10.1,192.168.10.5,0.0065,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,49,1763798404,192.168.10.1,192.168.10.5,0.0063,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,50,1763798405,192.168.10.1,192.168.10.5,0.0059,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,51,1763798405,192.168.10.1,192.168.10.5,0.0072,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,52,1763798406,192.168.10.1,192.168.10.5,0.0063,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,53,1763798406,192.168.10.1,192.168.10.5,0.0067,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,54,1763798407,192.168.10.1,192.168.10.5,0.0067,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,55,1763798407,192.168.10.1,192.168.10.5,0.0066,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,56,1763798408,192.168.10.1,192.168.10.5,0.0066,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,57,1763798408,192.168.10.1,192.168.10.5,0.0064,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,58,1763798409,192.168.10.1,192.168.10.5,0.0068,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,59,1763798409,192.168.10.1,192.168.10.5,0.0064,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,60,1763798410,192.168.10.1,192.168.10.5,0.007,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,61,1763798410,192.168.10.1,192.168.10.5,0.0066,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,62,1763798411,192.168.10.1,192.168.10.5,0.0065,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,63,1763798411,192.168.10.1,192.168.10.5,0.0063,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,64,1763798412,192.168.10.1,192.168.10.5,0.0065,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,65,1763798412,192.168.10.1,192.168.10.5,0.006,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,66,1763798413,192.168.10.1,192.168.10.5,0.0059,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,67,1763798413,192.168.10.1,192.168.10.5,0.0062,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,68,1763798414,192.168.10.1,192.168.10.5,0.0059,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,69,1763798414,192.168.10.1,192.168.10.5,0.0064,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,70,1763798415,192.168.10.1,192.168.10.5,0.0133,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,71,1763798415,192.168.10.1,192.168.10.5,0.0068,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,72,1763798416,192.168.10.1,192.168.10.5,0.0066,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,73,1763798416,192.168.10.1,192.168.10.5,0.006,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,74,1763798417,192.168.10.1,192.168.10.5,0.0056,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,75,1763798417,192.168.10.1,192.168.10.5,0.0067,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,76,1763798418,192.168.10.1,192.168.10.5,0.0064,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,77,1763798418,192.168.10.1,192.168.10.5,0.0081,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,78,1763798419,192.168.10.1,192.168.10.5,0.0062,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,79,1763798419,192.168.10.1,192.168.10.5,0.0062,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,80,1763798420,192.168.10.1,192.168.10.5,0.0061,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,81,1763798420,192.168.10.1,192.168.10.5,0.0074,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,82,1763798421,192.168.10.1,192.168.10.5,0.0063,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,83,1763798421,192.168.10.1,192.168.10.5,0.0071,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,84,1763798422,192.168.10.1,192.168.10.5,0.007,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,85,1763798422,192.168.10.1,192.168.10.5,0.0065,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,86,1763798423,192.168.10.1,192.168.10.5,0.0067,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,87,1763798423,192.168.10.1,192.168.10.5,0.0064,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,88,1763798424,192.168.10.1,192.168.10.5,0.0072,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,89,1763798424,192.168.10.1,192.168.10.5,0.0067,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,90,1763798425,192.168.10.1,192.168.10.5,0.0064,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,91,1763798425,192.168.10.1,192.168.10.5,0.0065,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,92,1763798426,192.168.10.1,192.168.10.5,0.0067,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,93,1763798426,192.168.10.1,192.168.10.5,0.0059,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,94,1763798427,192.168.10.1,192.168.10.5,0.0064,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,95,1763798427,192.168.10.1,192.168.10.5,0.0066,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,96,1763798428,192.168.10.1,192.168.10.5,0.0066,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,97,1763798428,192.168.10.1,192.168.10.5,0.0065,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,98,1763798429,192.168.10.1,192.168.10.5,0.0059,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,99,1763798429,192.168.10.1,192.168.10.5,0.0062,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,100,1763798430,192.168.10.1,192.168.10.5,0.006,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,1,1763798455,192.168.10.1,192.168.10.5,0.0072,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,2,1763798455,192.168.10.1,192.168.10.5,0.0062,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,3,1763798456,192.168.10.1,192.168.10.5,0.0059,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,4,1763798456,192.168.10.1,192.168.10.5,0.0069,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,5,1763798457,192.168.10.1,192.168.10.5,0.0059,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,6,1763798457,192.168.10.1,192.168.10.5,0.0059,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,7,1763798458,192.168.10.1,192.168.10.5,0.006,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,8,1763798458,192.168.10.1,192.168.10.5,0.0069,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,9,1763798459,192.168.10.1,192.168.10.5,0.0064,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,10,1763798459,192.168.10.1,192.168.10.5,0.006,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,11,1763798460,192.168.10.1,192.168.10.5,0.0063,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,12,1763798460,192.168.10.1,192.168.10.5,0.0072,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,13,1763798461,192.168.10.1,192.168.10.5,0.007,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
RECEIVED,PDR,14,1763798461,192.168.10.1,192.168.10.5,0.0064,192.168.10.1->192.168.10.2->192.168.10.3->192.168.10.5,,
